id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
659959,Summer of 85,7.408,714,Released,2020-07-14,3600000,101,False,/oq1AkrBDj8hRVJqC2NDFT5R1NEa.jpg,6900000,,tt10457128,fr,Été 85,"What do you dream of when you're 16-years-old and in a seaside resort in Normandy in the 1980s? A best friend? A lifelong teen pact? Scooting off on adventures on a boat or a motorbike? Living life at breakneck speed? No. You dream of death. Because you can't get a bigger kick than dying. And that's why you save it till the very end. The summer holidays are just beginning, and this story recounts how Alexis grew into himself.",12.932,/rkJKDC5gYrPXQx9IqNaUhSb3beC.jpg,,"Romance, Drama","Mandarin Production, SCOPE Pictures",France,"French, English","based on novel or book, sailing, normandy, france, motorcycle, teenage boy, lgbt, lgbt teen, summer job, seaside town, 1980s, teenage protagonist, gay theme, boys' love (bl)"
175574,Free Birds,5.862,714,Released,2013-10-30,110000000,91,False,/bYCYL5mVX4unStJy34wWuofVq2O.jpg,55000000,,tt1621039,en,Free Birds,Two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history—and get turkey off the holiday menu for good.,17.418,/gnSU2wUBq2gTkBEkxY8C1d1fXAQ.jpg,Hang On To Your Nuggets,"Animation, Comedy, Family","Reel FX Creative Studios, Relativity Media",United States of America,English,"holiday, freedom, thanksgiving, duringcreditsstinger"
9573,Blood Work,6.156,712,Released,2002-08-09,31794718,110,False,/6Jatq6wjJ4c2YbPkE5e5VzukEI2.jpg,50000000,,tt0309377,en,Blood Work,"Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.",14.042,/A6wWJkIREagRWFNu3YotID3n9aW.jpg,He's a heartbeat away from catching the killer,"Thriller, Crime","Malpaso Productions, Warner Bros. Pictures",United States of America,"English, Spanish","based on novel or book, heart, police, houseboat, investigation, ex-cop, murder, serial killer, heart transplant, armed robbery, blood donor, good versus evil"
5544,Hiroshima Mon Amour,7.777,712,Released,1959-06-10,3193,92,False,/nHmxbmwGmbY6p5i5Soal4ZJNrTq.jpg,0,,tt0052893,fr,Hiroshima mon amour,"The deep conversation between a Japanese architect and a French actress forms the basis of this celebrated French film, considered one of the vanguard productions of the French New Wave. Set in Hiroshima after the end of World War II, the couple -- lovers turned friends -- recount, over many hours, previous romances and life experiences. The two intertwine their stories about the past with pondering the devastation wrought by the atomic bomb dropped on the city.",16.04,/adLWFW0JC8f3wjhnfBnHlf85Poh.jpg,From the measureless depths of a woman's emotions...,"Drama, History, Romance","Argos Films, Como Films, Daiei Film, Pathé Overseas, Pathé Entertainment","France, Japan","English, French, Japanese","new love, france, atomic bomb, return, lover, architect, hiroshima, japan, black and white, family, extramarital affair, anti war, nouvelle vague"
5902,A Bridge Too Far,7.222,712,Released,1977-06-15,50750000,175,False,/26feWH2NF8XqxuMzfkJTp9T5dfQ.jpg,22000000,,tt0075784,en,A Bridge Too Far,The story of Operation Market Garden—a failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,21.901,/lszOk3Xmh7qpLaM9J4K9E6ADLk1.jpg,Out of the sky comes the screen's most incredible spectacle of men and war!,"Drama, History, War","United Artists, Joseph E. Levine Productions","United Kingdom, United States of America","English, Dutch, Polish, German, Latin","mission, army, allies, world war ii, netherlands, bridge, tank, based on true story, operation market garden, soldier, arnhem, military operation, 1940s, historical battle"
10207,Message in a Bottle,6.202,712,Released,1999-02-22,118880016,131,False,/bHTAGzPTQ0aBm7gmfkSnqaHiajM.jpg,80000000,,tt0139462,en,Message in a Bottle,"A woman finds a romantic letter in a bottle washed ashore and tracks down the author, a widowed shipbuilder whose wife died tragically early. As a deep and mutual attraction blossoms, the man struggles to make peace with his past so that he can move on and find happiness.",15.047,/majQar87QNbrC47qYMcmK1oCohZ.jpg,A story of love lost and found.,"Romance, Drama","Tiger Productions, Bel Air Entertainment, Di Novi Pictures",United States of America,English,"sailboat, anonymous letter, sailing, love letter, bottle, cape cod, message in a bottle"
73456,Barbie: Princess Charm School,7.442,712,Released,2011-08-11,0,79,False,/pR51tWHlUWUEnPUc5my9anqcDto.jpg,0,,tt2066832,en,Barbie: Princess Charm School,"Barbie stars as Blair Willows, a kind-hearted girl who is chosen to attend Princess Charm School: a magical, modern place that teaches dancing, how to have tea parties, and proper princess manners. Blair loves her classes -- as well as the helpful magical sprites and her new friends, Princesses Hadley and Isla. But when royal teacher Dame Devin discovers that Blair looks a lot like the kingdom’s missing princess, she turns Blair’s world upside down to stop her from claiming the throne. Now Blair, Hadley and Delancy must find an enchanted crown to prove Blair’s true identity in this charming and magical princess story!",38.899,/lI2jPbssax6XX5vDqB9mTJHGzfH.jpg,,"Family, Animation, Fantasy","Mattel Entertainment, Rainmaker Entertainment",United States of America,English,"princess, based on toy, school"
73937,The Big Year,5.988,712,Released,2011-10-13,8179416,100,False,/sBOTeV38Xf3xyvzEq8tpHor6pCJ.jpg,41000000,,tt1053810,en,The Big Year,"Three fanatical bird-watchers spend an entire year competing to spot the highest number of species as El Nino sends an extraordinary variety of rare breeds flying up into the U.S., but they quickly discover that there are more important things than coming out on top of the competition.",13.172,/q6Pr8fWKh664seri2MaQeIJ6eSI.jpg,Everyone is searching for something.,Comedy,"Ingenious Media, Fox 2000 Pictures, Deuce Three Productions, Sunswept Entertainment, Dune Entertainment, 20th Century Fox, Red Hour",United States of America,English,"helicopter, airplane, based on novel or book, honeymoon, ornithology, birding, birdwatching, duringcreditsstinger"
16558,Duplicity,5.893,711,Released,2009-03-18,78176181,125,False,/dGfpqdkEJzpUb46L9neCrthdRfq.jpg,60000000,http://www.universalstudiosentertainment.com/duplicity/,tt1135487,en,Duplicity,Two romantically-engaged corporate spies team up to manipulate a corporate race to corner the market on a medical innovation that will reap huge profits and enable them to lead an extravagant lifestyle together.,15.255,/vpWQs3CjwG6Er3DgZlv4L3NFjXg.jpg,Outwit. Outspy. Outsmart. Outplay. Then get out.,"Romance, Comedy, Crime","Medienproduktion Poseidon Filmgesellschaft, Universal Pictures, Relativity Media, Laura Bickford Productions","Germany, United States of America","German, Russian, Spanish, English","spy, fbi, dubai, near east"
382589,Rock'n Roll,5.198,711,Released,2017-02-15,0,123,False,/gHCAEAC96OS2YpqXYDcBu7nahV7.jpg,17900000,,tt5351818,fr,Rock'n Roll,"Guillaume Canet is told by a young co-star that he's no longer Rock'n' Roll and can't sell films anymore. He then tries to prove her wrong and gets help from his girlfriend, Marion Cotillard.",6.635,/tkzVWew2NgepjYDWu5WeVXLEeCj.jpg,,"Comedy, Drama","Pathé, M6 Films, Les Productions du Trésor",France,"English, French","midlife crisis, plastic surgery, director, couple, producer, self parody"
532,A Close Shave,7.536,711,Released,1995-04-10,0,30,False,/aCAvih7z9D8FZHrF8sSSaczl9N8.jpg,0,http://www.wallaceandgromit.com/films/a-close-shave,tt0112691,en,A Close Shave,"Wallace's whirlwind romance with the proprietor of the local wool shop puts his head in a spin, and Gromit is framed for sheep-rustling in a fiendish criminal plot.",11.942,/qdIR27trLyrlJ5nmkbcG3Bomah6.jpg,,"Family, Animation, Comedy",Aardman,United Kingdom,English,"prison, sheep, inventor, loyalty, innocence, surrealism, stop motion, framed, dog, animal, sheep rustling, claymation, plasticine, short film, preserved film"
