id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords,description,directors,main_characters
384007,Les frères Gravet,0.0,0,Released,1996-04-01,0,90,False,,0,,tt0287449,fr,Les frères Gravet,Gravet brothers meet in Beaune during their mother's funeral.,0.6,,,,,,French,,Gravet brothers meet in Beaune during their mother&apos;s funeral.,René Féret,"Jean-François Stévenin, Jacques Bonnaffé, Robin Renucci"
384014,La vie sexuelle des Belges partie 4 - La jouissance des hystériques,0.0,0,Released,2000-08-30,0,0,False,,0,,tt0248929,fr,La vie sexuelle des Belges partie 4 - La jouissance des hystériques,,0.877,/ltDg1Nq9OnGOO3wpdvXq9EppsIG.jpg,,,,Belgium,French,,A director in his midlife-crisis wants to start a new movie and he invites twelve actresses in his flat in Brussels. Every actress tries to convince him of her talent. The director tries to seduce them at the same time but this is...,Jan Bucquoy,"Jan Bucquoy, Marie Bucquoy, Natacha Drion"
384022,Love Potion,0.0,0,Released,1987-01-01,0,0,False,,0,,tt0093442,en,Love Potion,,1.029,/n48SzD3bwkxYsMPzTMGfsVXHcBF.jpg,,Thriller,Flying High Entertainment Productions,United Kingdom,German,,"Delaware, a female drug addict, joins a drugs rehabilitation program in a special clinic where the doctors&apos; methods seem to be too unorthodox.",Julian Doyle,"Nancy Paul, John Rowe, Robert Ashby"
221771,En förälskelse,0.0,0,Released,2001-02-22,0,94,False,/fZU1YTZrzrD7UIi0944Qi0Rc9a5.jpg,0,,tt0268313,sv,En förälskelse,"A couple, Anna and Simon, moves to Eskilstuna with their youngest son Gunnar. Simon begins an affair with Ingrid.",1.091,/o9KSXQF7ssuYlhXn2HurhFBAB1D.jpg,,"Drama, Romance",Filmarehn,Sweden,Swedish,,"Anna and Simon move to Eskilstuna. Where Simon falls in love with Ingrid, married to Kurre. Ingrid and Simon&apos;s affair is soon discovered. It wrecks both marriages.",Mats Arehn,"Peter Haber, Nina Gunke, Lena T. Hansson"
384031,Punyam Aham,0.0,0,Released,2010-01-22,0,0,False,,0,,tt1838630,ml,പുണ്യം അഹം,"Punyam Aham is set in a small village in northern Kerala. The protagonist is Narayan Unni (Prithviraj Sukumaran), a young man with a Brahmin father and low-caste mother, who separated, leaving the mother to raise him alone. The film tells the story of Unni leaving home and searching for his identity, and then repeating many of his father's mistakes in life. It is based on the story in traditional folklore about Naranath Bhranthan and his father Vararuchi.[1]",0.875,/6wtROAZYMvGdkqtJfTw2NXv8Cd8.jpg,,Drama,,India,Malayalam,,"Narayanan lives in a small village with his mother, who separated from his Brahmin father many years ago. He sets out to discover his identity in a society dictated by caste difference.",Raj Nair,"Said Alharbi, M.R. Gopakumar, Nedumudi Harikumar"
383915,Off by Heart,0.0,0,Released,2009-05-22,0,90,False,,0,,tt1445706,en,Off by Heart,A documentary directed by Antonia Bird.,0.6,,,Documentary,Silver River Productions,United Kingdom,English,woman director,,Antonia Bird,Ben Crick
221807,"Listen, America!",0.0,0,Released,1968-07-01,0,53,False,,0,,tt0383465,en,"Listen, America!",Edouard de Laurot's freewheeling compilation of images and ideas from the late-60s counterculture.,0.6,/ct2eFga6M4IzRDU9NlFaxedg3tI.jpg,,,,,,,,Edouard de Laurot,"Edouard de Laurot, Rip Torn"
383795,Paroles,0.0,0,Released,2010-12-04,0,23,False,,0,,tt1854562,en,Paroles,Nightly meetings imply a return. A return that should make a departure a whole lot easier.,0.642,,,,,,,,,Gilles Coulier,"Gilles De Schryver, Sam Louwyck, Angelo Tijssens"
383768,The Pit: A Study in Horror,0.0,0,Released,2013-01-01,0,8,False,,0,,tt2870772,en,The Pit: A Study in Horror,"A short experimental horror film that deconstructs the nature of the creature feature, minus the actual creature.",0.6,,,Horror,,Canada,English,woman director,"A short experimental horror film that deconstructs the nature of the creature feature, minus the actual creature.","Karen Lam, Lauren Marsden",
383777,Saihu the Dog,0.0,0,Released,1982-01-01,0,90,False,/4wif5f6DMUJRltUNBHhhCD84JDv.jpg,0,,tt6422846,zh,赛虎,"During the days before the liberation of China, a young boy questions the landlord's right to enslave a peasant girl working on his land. With the help of his loyal dog, Saihu (meaning ""Racing Tiger""), the boy saves the girl from the landlord's son and breaks the bonds of slavery.",0.84,/j0btUeCWExomCkpTdvwTdlqvYwT.jpg,,Drama,Xiaoxiang Film Studio,China,Mandarin,german shepherd,"The story sets in the agrarian revolutionary period, a brave boy and his smart loyal dog rescue his father from the evil landlord&apos;s dungeon.","Yongzuang Hua, Zhen Luo","Hao Li, Yigong Zhao, Kangning He"
