user_id,movie_id,watch_date,completion_rate,location,time_of_day,social_context,mood,device
2766,m/men_who_stare_at_goats,2023-04-08,0.6,Work,Morning,Family,Excited,Laptop
4001,m/amy_2015,2023-05-18,0.69,Travel,Evening,Alone,Stressed,Laptop
3385,m/enemy_2013,2023-08-22,0.7,Home,Morning,Alone,Relaxed,Smartphone
1136,m/enter_the_dragon,2023-05-31,0.98,Home,Night,Family,Excited,Smartphone
2875,m/kung_fu_panda,2023-10-17,0.53,Travel,Night,Alone,Stressed,Smartphone
4285,m/peepli-live,2023-01-03,0.7,Travel,Afternoon,Friends,Excited,Smart TV
944,m/trigger_effect,2023-11-16,0.92,Travel,Night,Family,Excited,Smartphone
570,m/life_of_david_gale,2023-05-23,0.7,Work,Night,Partner,Happy,Laptop
155,m/what_a_girl_wants,2023-01-02,0.68,Home,Night,Alone,Relaxed,Smartphone
3863,m/matrix_reloaded,2023-07-29,0.6,Travel,Evening,Alone,Sad,Smartphone
3048,m/earthquake_bird,2023-01-19,0.7,Outdoor,Morning,Family,Tired,Smart TV
458,m/unbroken_2014,2023-03-28,0.7,Home,Afternoon,Alone,Happy,Smartphone
349,m/phantom_of_the_opera,2023-12-03,0.7,Outdoor,Night,Friends,Tired,Smartphone
2508,m/world_is_not_enough,2023-05-16,0.53,Travel,Evening,Partner,Tired,Smartphone
1774,m/timeline,2023-11-11,0.7,Work,Morning,Alone,Tired,Smartphone
4663,m/the_legend_of_cocaine_island,2023-11-11,0.7,Travel,Morning,Family,Relaxed,Smartphone
4291,m/first_kill_2017,2023-06-05,0.89,Travel,Night,Alone,Relaxed,Smartphone
2821,m/new_money,2023-09-30,0.8,Outdoor,Night,Friends,Sad,Smartphone
2205,m/moonlight_2016,2023-09-26,0.7,Travel,Afternoon,Alone,Tired,Smartphone
4915,m/spy_next_door,2023-03-11,0.7,Outdoor,Morning,Family,Excited,Laptop
4551,m/elizabeth_harvest,2023-12-29,0.58,Travel,Evening,Friends,Excited,Smartphone
2454,m/sherlock_holmes_2009,2023-07-11,0.56,Outdoor,Night,Partner,Relaxed,Smartphone
4093,m/flipped,2023-11-05,0.69,Travel,Morning,Partner,Excited,Smartphone
4505,m/the_prince_2015,2023-08-27,0.9,Home,Morning,Partner,Relaxed,Smartphone
1584,m/klaus,2023-10-08,0.54,Outdoor,Evening,Alone,Tired,Smartphone
4798,m/sliver,2023-11-13,0.64,Home,Night,Alone,Tired,Laptop
1107,m/1209933-puss_in_boots,2023-01-18,0.7,Travel,Morning,Alone,Sad,Smart TV
1155,m/due-date,2023-06-17,0.53,Home,Night,Alone,Relaxed,Laptop
1240,m/pineapple_express,2023-02-18,0.77,Work,Afternoon,Alone,Happy,Smart TV
1324,m/employee_of_the_month,2023-12-30,0.76,Home,Morning,Friends,Excited,Smartphone
3045,m/1br,2023-04-25,0.75,Home,Night,Alone,Happy,Smartphone
774,m/pusher_2012,2023-05-16,0.7,Home,Morning,Alone,Relaxed,Smartphone
24,m/jinn_2018,2023-02-07,0.54,Work,Morning,Alone,Tired,Smartphone
4972,m/a_secret_love,2023-11-11,0.68,Work,Night,Family,Excited,Laptop
4601,m/hope_springs_eternal_2018,2023-02-14,0.61,Outdoor,Evening,Partner,Excited,Smart TV
4384,m/somewhere_between_2011,2023-10-18,0.82,Travel,Afternoon,Partner,Stressed,Laptop
129,m/xx,2023-08-07,0.71,Outdoor,Morning,Friends,Sad,Laptop
1283,m/clockwork_orange,2023-01-21,0.51,Work,Evening,Partner,Stressed,Smartphone
3870,m/midnight_run,2023-09-28,0.66,Home,Night,Family,Tired,Smartphone
559,m/1018069-sahara,2023-08-16,0.81,Travel,Afternoon,Partner,Relaxed,Smartphone
4461,m/an_evening_with_beverly_luff_linn_2018,2023-04-15,0.59,Home,Afternoon,Partner,Sad,Smartphone
2308,m/forbidden_planet,2023-02-06,0.7,Home,Evening,Partner,Stressed,Tablet
4711,m/bedtime_stories,2023-12-24,0.7,Home,Evening,Alone,Excited,Smartphone
4001,m/get_me_roger_stone,2023-07-06,0.67,Travel,Evening,Partner,Stressed,Smart TV
863,m/1035065-possessed,2023-03-09,0.98,Travel,Evening,Friends,Stressed,Smartphone
2046,m/rachel_getting_married,2023-02-10,0.7,Outdoor,Night,Friends,Excited,Tablet
4191,m/a_secret_love,2023-12-01,0.69,Work,Afternoon,Family,Stressed,Smartphone
4449,m/peppermint_2018,2023-01-23,0.63,Work,Afternoon,Family,Happy,Smartphone
2417,m/big_kill,2023-06-18,0.7,Outdoor,Morning,Family,Relaxed,Tablet
3139,m/knock_knock_2015,2023-07-22,0.7,Home,Morning,Family,Relaxed,Smartphone
4196,m/red_trees,2023-02-06,0.64,Home,Morning,Friends,Sad,Smartphone
561,m/soul_surfer,2023-05-13,0.7,Outdoor,Evening,Friends,Happy,Smartphone
4164,m/charlie_and_the_chocolate_factory,2023-06-20,0.91,Work,Night,Family,Happy,Smartphone
3723,m/sweet_virginia_2017,2023-03-01,0.71,Work,Afternoon,Friends,Excited,Smartphone
1893,m/melvin_goes_to_dinner,2023-09-05,0.84,Home,Morning,Family,Stressed,Smartphone
3545,m/1142569-cursed,2023-09-24,0.7,Travel,Evening,Friends,Sad,Smartphone
1169,m/machete_kills,2023-01-21,0.88,Travel,Morning,Partner,Sad,Smart TV
4410,m/training_day,2023-04-27,0.79,Outdoor,Morning,Partner,Tired,Smartphone
4517,m/young_adult,2023-12-01,0.68,Work,Night,Friends,Tired,Smartphone
1857,m/shimmer_lake,2023-10-27,0.83,Work,Morning,Alone,Tired,Laptop
1426,m/head_on,2023-08-11,0.53,Outdoor,Afternoon,Family,Relaxed,Smartphone
2839,m/quartet_2012,2023-03-07,0.86,Work,Morning,Alone,Tired,Tablet
4767,m/in_the_shadow_of_the_moon_2019,2023-04-14,0.92,Home,Morning,Alone,Stressed,Smartphone
1801,m/the_week_of,2023-02-10,0.7,Home,Evening,Friends,Happy,Laptop
2759,m/terrifier,2023-05-10,0.7,Work,Night,Family,Stressed,Smartphone
1595,m/hugo,2023-09-24,0.97,Travel,Afternoon,Friends,Stressed,Smartphone
2638,m/home_again_2017,2023-04-23,0.93,Travel,Morning,Partner,Stressed,Tablet
2368,m/recovery_boys,2023-03-14,0.94,Outdoor,Evening,Family,Stressed,Smartphone
3667,m/officer_downe,2023-07-23,0.7,Travel,Evening,Friends,Stressed,Laptop
4810,m/platoon,2023-10-16,0.59,Home,Afternoon,Partner,Relaxed,Laptop
