user_id,movie_id,interaction_type,points
1,m/head_on,search,1.0
2,m/how_it_ends,review,3.0
3,m/michael_che_matters,watch,3.15
3,m/our_souls_at_night,add_to_watchlist,2.0
4,m/kung_fu_yoga,watch,4.8
4,m/the_calling_2014,search,1.0
4,m/the_killing_of_a_sacred_deer,watch,3.5
4,m/the_perks_of_being_a_wallflower,review,3.0
5,m/manglehorn,click,1.0
6,m/jay_and_silent_bob_strike_back,click,1.0
6,m/slam,search,1.0
6,m/sling_blade,watch,2.65
7,m/hamburger_hill,watch,3.95
8,m/1195103-happy_go_lucky,review,3.0
8,m/family_business,add_to_watchlist,2.0
8,m/horns,review,3.0
9,m/man_up_2015,watch,3.5
11,m/1208128-tyson,watch,3.7
12,m/a_separation_2011,search,1.0
12,m/beowulf,watch,3.85
13,m/adore_2013,watch,4.2
13,m/the_founder,search,1.0
13,m/the_healer_2018,click,1.0
14,m/gori_tere_pyaar_mein,search,1.0
14,m/outsiders,watch,3.5
14,m/terrifier,watch,4.5
15,m/1099999-beowulf,watch,3.15
15,m/the_red_sea_diving_resort,review,3.0
15,m/the_wedding_guest,add_to_watchlist,2.0
16,m/hush_2016,watch,4.85
16,m/phantom_2013,search,1.0
17,m/1078165-bliss,click,1.0
17,m/get_santa,watch,2.5
17,m/outlaw_josey_wales,review,3.0
17,m/sisters_2015,click,1.0
18,m/1001115-apartment,search,1.0
19,m/the_laundromat,watch,3.5
20,m/1077642-nothing_to_lose,search,1.0
20,m/bushwick_2017,review,3.0
21,m/lake_house,search,1.0
22,m/in_the_shadow_of_the_moon,search,1.0
22,m/the_last_face_2017,search,1.0
23,m/pusher_2012,watch,3.5
23,m/runaway_bride,add_to_watchlist,2.0
23,m/the_duel_2016,watch,3.7
23,m/the_messengers,watch,4.2
24,m/1012164-legend,watch,3.8
24,m/1080867-rainmaker,watch,3.35
24,m/clear_and_present_danger,watch,4.45
24,m/jinn_2018,watch,2.7
24,m/outlaw_josey_wales,search,1.0
24,m/queen,watch,3.5
24,m/the_happytime_murders_2017,add_to_watchlist,2.0
24,m/the_hunt_2012,watch,4.95
24,m/the_runaways,watch,3.1
24,m/triple_threat_2019,review,3.0
25,m/before_the_flood_2016,watch,4.45
25,m/free_fire,review,3.0
26,m/1099999-beowulf,add_to_watchlist,2.0
26,m/blood_father,click,1.0
26,m/goosebumps_2015,search,1.0
27,m/american_ultra,search,1.0
27,m/next,click,1.0
30,m/blue_jasmine,watch,3.95
30,m/maximum_risk,search,1.0
30,m/the_great_train_robbery_1979,watch,3.5
30,m/tread,watch,3.5
31,m/genius_2016,click,1.0
32,m/happy_valley_2014,review,3.0
32,m/maktub_2018,review,3.0
33,m/american_heist,click,1.0
33,m/framing_john_delorean,watch,3.5
33,m/swades,search,1.0
34,m/barry_2016,watch,3.55
34,m/road_to_love_2001,watch,3.2
34,m/the_oath_2018,review,3.0
34,m/trigger_effect,search,1.0
35,m/detention_2011,search,1.0
35,m/holiday_in_the_wild,watch,4.35
35,m/jinn_2014,watch,2.8
36,m/charlie_and_the_chocolate_factory,add_to_watchlist,2.0
36,m/donnie_brasco,search,1.0
36,m/the_happytime_murders_2017,search,1.0
37,m/10012014-babies,watch,3.5
37,m/american_president,click,1.0
37,m/level_16,review,3.0
37,m/short_term_12_2013,review,3.0
37,m/the_meddler_2016,watch,3.3
38,m/swiss_army_man,click,1.0
38,m/the_happytime_murders_2017,review,3.0
38,m/the_spectacular_now,add_to_watchlist,2.0
39,m/skins,add_to_watchlist,2.0
40,m/1175076-fred_claus,search,1.0
40,m/sum_of_all_fears,click,1.0
40,m/the_con_is_on,add_to_watchlist,2.0
41,m/love_aaj_kal_2020,watch,3.5
41,m/philadelphia,add_to_watchlist,2.0
43,m/my_entire_high_school_sinking_into_the_sea,watch,3.5
44,m/10012044-life_as_we_know_it,watch,3.5
44,m/1077642-nothing_to_lose,click,1.0
44,m/good_people_2014,search,1.0
44,m/piercing,watch,3.5
44,m/the_muppets,click,1.0
44,m/the_queen_1968,search,1.0
45,m/10009493-duchess,review,3.0
45,m/genius_2016,search,1.0
45,m/mortal_kombat,watch,4.75
45,m/quigley_down_under,add_to_watchlist,2.0
45,m/the_captive_2014,search,1.0
46,m/10010208-chocolate,watch,3.5
46,m/newtown,search,1.0
47,m/city_of_joy_2018,click,1.0
48,m/detour_2017,watch,3.65
49,m/lionheart_1990,watch,2.9
50,m/matrix,add_to_watchlist,2.0
51,m/a_private_war,click,1.0
53,m/entanglement_2018,review,3.0
54,m/30_minutes_or_less,click,1.0
54,m/dovlatov,search,1.0
54,m/the_guernsey_literary_and_potato_peel_pie_society,watch,4.85
55,m/nacho_libre,watch,3.95
56,m/1014481-mutiny_on_the_bounty,search,1.0
56,m/american_factory,search,1.0
56,m/polar_express,review,3.0
57,m/1037649-my_girl,review,3.0
57,m/the_competition_2018,add_to_watchlist,2.0
59,m/wine_country,review,3.0
60,m/1108206-evolution,watch,3.5
60,m/golmaal-returns,watch,4.75
60,m/pulp_fiction,review,3.0
61,m/1103231-gift,watch,2.65
61,m/1169498-bridge,review,3.0
61,m/the_eyes_of_my_mother_2016,watch,3.2
62,m/1112237-order,watch,2.5
62,m/quigley_down_under,review,3.0
62,m/solo,click,1.0
62,m/war_dogs_2016,click,1.0
63,m/1079452-assignment,search,1.0
63,m/the_bleeding_edge,watch,3.5
64,m/1109137-heist,review,3.0
65,m/1045328-gypsy,click,1.0
66,m/he_named_me_malala,watch,3.5
66,m/springsteen_on_broadway,click,1.0
66,m/the_hollow,watch,3.5
66,m/the_last_word_2017,review,3.0
66,m/wadjda_2013,click,1.0
67,m/1023543-white_christmas,search,1.0
67,m/kill_command,search,1.0
68,m/before_the_flood_2016,review,3.0
68,m/good_burger,watch,3.5
69,m/big_stone_gap,watch,4.85
71,m/bloodline_2019,click,1.0
72,m/1099999-beowulf,add_to_watchlist,2.0
72,m/bad_boys_1982,add_to_watchlist,2.0
72,m/hampstead,click,1.0
72,m/how_to_train_your_dragon_2,watch,3.25
72,m/the_bfg_2016,watch,3.8
73,m/1009076-gypsy,search,1.0
73,m/insidious,watch,5.0
73,m/wheelman,watch,3.2
76,m/pusher_2012,watch,4.7
76,m/saint,watch,3.3
76,m/the_adventures_of_tintin,search,1.0
77,m/into_the_inferno,search,1.0
77,m/the_short_game,watch,3.5
78,m/miracle,search,1.0
79,m/quantum_of_solace,review,3.0
79,m/the_con_is_on,review,3.0
80,m/drunk_parents,search,1.0
80,m/mara_2018,add_to_watchlist,2.0
80,m/spenser_confidential,watch,3.5
81,m/the_messengers,watch,4.15
82,m/a_boy_called_po,search,1.0
82,m/sherlock_holmes_2009,watch,3.5
83,m/68_kill,click,1.0
83,m/teenage_mutant_ninja_turtles_2013,watch,3.95
83,m/the_competition_2018,review,3.0
83,m/wolf_2013,search,1.0
84,m/50_first_dates,search,1.0
84,m/head_count,add_to_watchlist,2.0
84,m/special,add_to_watchlist,2.0
85,m/1079718-one_night_stand,add_to_watchlist,2.0
85,m/home_2013,watch,3.15
85,m/the_highwaymen,search,1.0
86,m/10006057-moonlight,watch,3.5
86,m/aarakshan,review,3.0
86,m/always_be_my_maybe_2019,review,3.0
86,m/the_white_helmets,watch,4.85
87,m/rocky_ii,review,3.0
88,m/in_the_shadow_of_the_moon,review,3.0
89,m/eden_2012,watch,4.8
89,m/hardcore_henry,click,1.0
89,m/i_lost_my_body,watch,4.35
89,m/stargate,search,1.0
90,m/20_feet_from_stardom,search,1.0
90,m/sleeping_with_other_people,watch,4.7
90,m/thriller_2018,click,1.0
91,m/muppets_most_wanted,search,1.0
91,m/the_body_remembers_when_the_world_broke_open,review,3.0
92,m/zoot_suit,click,1.0
93,m/from_dusk_till_dawn,click,1.0
95,m/case_39,watch,3.6
95,m/sleepover,watch,3.55
95,m/swordfish,review,3.0
96,m/what_keeps_you_alive,review,3.0
97,m/the_con_is_on,search,1.0
98,m/cinderella_story,click,1.0
98,m/let_there_be_light_2017_2,add_to_watchlist,2.0
98,m/long_shot_2019,click,1.0
99,m/reversing_roe,review,3.0
99,m/seven_pounds,watch,3.55
100,m/next,watch,3.5
101,m/justice,search,1.0
101,m/like_father_2018,search,1.0
101,m/the_water_diviner,watch,3.8
103,m/bully_2012,search,1.0
103,m/clear_and_present_danger,search,1.0
104,m/dead_kids,watch,4.1
104,m/mirror_has_two_faces,search,1.0
106,m/girl_on_the_third_floor,add_to_watchlist,2.0
107,m/1142569-cursed,click,1.0
107,m/hop_2011,search,1.0
107,m/tears_of_the_sun,watch,3.35
107,m/the_last_laugh_2019,watch,3.4
108,m/bathtubs_over_broadway,search,1.0
109,m/queen_of_the_desert,search,1.0
112,m/starred_up,watch,2.8
112,m/the_heartbreak_kid,watch,3.5
113,m/about_a_boy,add_to_watchlist,2.0
113,m/extracurricular,watch,3.95
113,m/mine_9,add_to_watchlist,2.0
114,m/amy_2015,add_to_watchlist,2.0
115,m/1142569-cursed,watch,4.7
115,m/1169498-bridge,search,1.0
115,m/clear_and_present_danger,watch,4.35
117,m/1016479-point_blank,search,1.0
117,m/evan_almighty,watch,3.5
117,m/fun_mom_dinner,review,3.0
117,m/lockout_2012,watch,4.0
117,m/the_fluffy_movie,watch,3.75
117,m/xoxo_2016,add_to_watchlist,2.0
118,m/10010229-dostana,watch,4.1
118,m/city_of_ghosts,watch,3.8
118,m/lizzie_borden_took_an_ax,add_to_watchlist,2.0
118,m/the_con_is_on,add_to_watchlist,2.0
118,m/together_2001,search,1.0
119,m/daughters_of_the_dust,add_to_watchlist,2.0
119,m/the_boy_2015,watch,3.25
120,m/total_recall,click,1.0
121,m/django_unchained_2012,watch,4.45
121,m/night_on_earth,watch,3.5
121,m/now_and_then,search,1.0
121,m/the_white_helmets,watch,4.55
122,m/1211199-last_night,click,1.0
122,m/hard_way,click,1.0
122,m/the_smurfs,search,1.0
122,m/the_week_of,search,1.0
125,m/1040893-hero,search,1.0
125,m/1082855-twilight,watch,3.55
125,m/freaks_2019,review,3.0
125,m/star_trek_11,add_to_watchlist,2.0
126,m/the_returned,watch,3.9
128,m/the_after_party_2018,search,1.0
129,m/hope_springs_eternal_2018,search,1.0
129,m/joker_2019,review,3.0
129,m/super,search,1.0
129,m/xx,watch,3.55
131,m/american_president,search,1.0
133,m/wakefield,search,1.0
134,m/uncut_gems,click,1.0
135,m/1194326-take,click,1.0
135,m/the_sunshine_makers_2017,review,3.0
135,m/unfinished_song,click,1.0
136,m/good_time,watch,4.9
136,m/layer_cake,click,1.0
136,m/paranorman,search,1.0
137,m/1018044-sabotage,review,3.0
137,m/code_8,add_to_watchlist,2.0
138,m/maniac_1980,click,1.0
139,m/eden_2015,watch,3.5
139,m/mystery_men,search,1.0
139,m/the_happytime_murders_2017,search,1.0
140,m/1169498-bridge,watch,2.65
140,m/newtown,review,3.0
140,m/railroad_tigers_2017,review,3.0
140,m/under_the_eiffel_tower,search,1.0
141,m/richie_rich,add_to_watchlist,2.0
141,m/the_hunt_2012,watch,2.7
142,m/20_feet_from_stardom,add_to_watchlist,2.0
142,m/departed,review,3.0
142,m/hero,click,1.0
142,m/klaus,watch,3.35
142,m/long_riders,watch,4.9
142,m/sliver,review,3.0
143,m/event_horizon,review,3.0
143,m/the_knight_before_christmas,watch,3.95
144,m/der_kreis,watch,2.5
145,m/the_night_clerk_2020,click,1.0
146,m/the_danish_girl_2015,watch,4.7
147,m/a_most_violent_year,search,1.0
150,m/good_sam_2019,review,3.0
151,m/death_at_a_funeral_2010,watch,2.75
151,m/wet_hot_american_summer,search,1.0
152,m/bitch_2017,click,1.0
152,m/don_verdean,click,1.0
152,m/skiptrace,watch,3.2
153,m/1169498-bridge,review,3.0
153,m/rain_man,click,1.0
153,m/spring_breakers_2013,watch,4.5
154,m/between_worlds_2018,watch,3.5
154,m/prom_night,add_to_watchlist,2.0
155,m/final_destination_final_death_trip_3D,watch,3.5
155,m/what_a_girl_wants,watch,3.4
156,m/cool_hand_luke,click,1.0
156,m/obvious_child,watch,3.5
156,m/superbad,click,1.0
157,m/poseidon,click,1.0
157,m/the_last_word_2017,search,1.0
158,m/equals_2016,watch,4.55
160,m/aftermath_2017,add_to_watchlist,2.0
160,m/d_train,add_to_watchlist,2.0
160,m/naked_2017,add_to_watchlist,2.0
160,m/the_forest_of_love,watch,3.5
161,m/drunk_parents,review,3.0
161,m/the_music_of_silence,search,1.0
162,m/standoff_2016,watch,3.8
163,m/jay_and_silent_bob_strike_back,watch,4.65
163,m/match_2014,review,3.0
164,m/1053942-wolf,search,1.0
164,m/earthquake_bird,watch,4.5
164,m/final_destination_3,review,3.0
164,m/head_on,search,1.0
165,m/1003722-casino_royale,review,3.0
165,m/extraction_2020,watch,3.2
166,m/1032176-goodfellas,watch,2.5
166,m/jerry_before_seinfeld,search,1.0
168,m/happy_endings,click,1.0
168,m/lost_girls_2020,search,1.0
168,m/the_water_diviner,search,1.0
169,m/the_late_bloomer_2016,watch,3.25
170,m/1023543-white_christmas,add_to_watchlist,2.0
172,m/godzilla,search,1.0
173,m/class_rank,watch,2.95
174,m/marauders_2016,review,3.0
175,m/jodhaa_akbar,click,1.0
176,m/catfight_2017,watch,3.45
176,m/strong_island,watch,3.5
176,m/the_wedding_party,review,3.0
176,m/tracers,review,3.0
177,m/2012,search,1.0
178,m/carol,search,1.0
178,m/grand_hotel,click,1.0
179,m/jupiter_ascending_2014,watch,3.7
180,m/four_weddings_and_a_funeral,review,3.0
181,m/bad_day_for_the_cut,search,1.0
181,m/paris_is_burning,watch,3.5
182,m/chopsticks,watch,3.5
182,m/wet_hot_american_summer,review,3.0
183,m/1015348-nutty_professor,search,1.0
183,m/jersey_boys,search,1.0
183,m/solo_con_tu_pareja,watch,3.5
183,m/spring_breakers_2013,watch,4.2
183,m/stepfather,add_to_watchlist,2.0
184,m/1017321-red_dawn,click,1.0
184,m/22_july,search,1.0
184,m/killing_them_softly,add_to_watchlist,2.0
184,m/the_bachelors_2017,search,1.0
184,m/the_eyes_of_my_mother_2016,watch,3.5
186,m/the_body_remembers_when_the_world_broke_open,review,3.0
187,m/mud_2012,watch,3.2
188,m/1194326-take,add_to_watchlist,2.0
192,m/paradise_hills,review,3.0
192,m/the_last_thing_he_wanted,watch,4.8
192,m/the_legacy_of_a_whitetail_deer_hunter,review,3.0
193,m/6_underground,review,3.0
193,m/asoka,watch,4.55
194,m/how_to_make_an_american_quilt,search,1.0
195,m/falling_inn_love,review,3.0
195,m/inkheart,watch,3.35
195,m/moonlight_2016,search,1.0
196,m/1019544-spartacus,add_to_watchlist,2.0
196,m/domino,watch,3.5
197,m/1032182-white_fang,search,1.0
197,m/revenge_2018,watch,2.8
197,m/the_knight_before_christmas,search,1.0
197,m/when_we_first_met,review,3.0
200,m/eden_2015,click,1.0
200,m/ne_zha_2019,watch,3.5
201,m/the_nutcracker_and_the_four_realms,watch,3.5
202,m/a_wrinkle_in_time_2018,search,1.0
202,m/the_outsider_2014,search,1.0
203,m/10009493-duchess,watch,4.4
203,m/newtown,search,1.0
203,m/wheelman,watch,3.5
204,m/operation_finale,click,1.0
204,m/welcome_home_roscoe_jenkins,review,3.0
205,m/3_generations,watch,2.9
205,m/limitless,search,1.0
205,m/the_amityville_horror,watch,4.25
207,m/rize,search,1.0
207,m/the_great_hack,add_to_watchlist,2.0
207,m/wadjda_2013,watch,3.05
207,m/waterboy,watch,4.55
209,m/1112951-time_machine,review,3.0
209,m/spenser_confidential,watch,3.5
210,m/1109137-heist,watch,4.35
210,m/awake,search,1.0
210,m/in_the_tall_grass_2019,click,1.0
210,m/john_carter,search,1.0
210,m/osmosis_jones,search,1.0
211,m/cloudburst_2012,watch,3.5
211,m/paper,click,1.0
211,m/the_gift_2015,add_to_watchlist,2.0
211,m/the_runner_1999,watch,4.8
212,m/1020889-target,add_to_watchlist,2.0
213,m/scream_2,review,3.0
213,m/tigertail,add_to_watchlist,2.0
214,m/insidious,click,1.0
214,m/sweet_virginia_2017,search,1.0
215,m/closed_circuit_2013,add_to_watchlist,2.0
215,m/domino_2019,watch,3.5
215,m/skin_2019,click,1.0
216,m/chopsticks,watch,3.5
216,m/social_animals,watch,3.15
216,m/the_night_clerk_2020,add_to_watchlist,2.0
216,m/you_get_me,click,1.0
217,m/woody_woodpecker_2017,search,1.0
218,m/a_sun_2019,add_to_watchlist,2.0
218,m/four_christmases,search,1.0
218,m/frances_ha,watch,3.25
218,m/revenge_2018,click,1.0
219,m/bad_education_2019,search,1.0
219,m/the_spectacular_now,watch,3.5
220,m/unfriended,review,3.0
222,m/1080990-fallen,review,3.0
222,m/the_circle_2017,review,3.0
223,m/20_feet_from_stardom,watch,3.5
223,m/i_am_michael,review,3.0
223,m/jumping_the_broom,click,1.0
223,m/saturday_church,search,1.0
224,m/philomena,click,1.0
226,m/elena_2012,search,1.0
227,m/see_you_yesterday,review,3.0
228,m/1112980-perfume,review,3.0
229,m/middle_men,watch,4.85
229,m/poms,search,1.0
230,m/the_look_of_silence,click,1.0
232,m/opening_night,watch,4.75
