movie_id,content_type,title,director,cast,country,genres,content_rating,original_release_date,streaming_release_date,runtime,production_company,audience_status,audience_rating,audience_count,description
m/dear_white_people,TV Show,Dear White People,Unknown,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"TV Comedies, TV Dramas",R,2014-10-17,2016-08-26,106.0,Roadside Attractions,Upright,61.0,22538.0,"student color navigate daily slight slippery politics life ivy league college that's nearly ""post-racial"" thinks."
m/grown_ups,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,Comedies,PG-13,2010-06-25,2012-04-16,102.0,Sony Pictures,Upright,62.0,270906.0,"mourning loss beloved junior high basketball coach, five middle-aged pal reunite lake house rediscover joy kid."
m/dark_skies_2013,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,"Horror Movies, Sci-Fi & Fantasy",PG-13,2013-02-22,2017-03-21,97.0,The Weinstein Company,Spilled,49.0,29217.0,"family’s idyllic suburban life shatters alien force invades home, struggle convince others deadly threat."
m/paranoia_2013,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France",Thrillers,PG-13,2013-08-16,2016-08-10,106.0,Relativity Media,Spilled,35.0,23401.0,"blackmailed company's ceo, low-level employee find forced spy boss's rival former mentor."
m/birth_of_the_dragon,Movie,Birth of the Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","Action & Adventure, Dramas",PG-13,2017-08-25,2017-11-07,91.0,BH Tilt/WWE Studios,Upright,68.0,6385.0,"young bruce lee anger kung fu traditionalist teaching outsiders, leading showdown shaolin master film based real events."
m/jaws,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,"Action & Adventure, Classic Movies, Dramas",PG,1975-06-01,2015-07-22,124.0,Universal Pictures,Upright,90.0,944601.0,"insatiable great white shark terrorizes amity island, police chief, oceanographer grizzled shark hunter seek destroy beast."
m/jaws_2,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,"Dramas, Horror Movies, Thrillers",PG,1978-06-16,2014-02-12,117.0,MCA Universal Home Video,Spilled,38.0,299707.0,"four year last deadly shark attacks, police chief martin brody fight protect amity island another killer great white."
m/jaws_3,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,"Action & Adventure, Horror Movies, Thrillers",PG,1983-07-22,2015-09-11,97.0,MCA Universal Home Video,Spilled,17.0,187794.0,"staff marine theme park try capture young great white shark, discover mother invaded enclosure blood."
m/safe_house_2012,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan",Action & Adventure,R,2012-02-10,2015-12-01,115.0,Universal Pictures,Upright,63.0,118625.0,young cia operative matt weston must get dangerous criminal agency safe house that's come attack get securer location.
m/training_day,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,"Dramas, Thrillers",R,2001-10-05,2010-06-22,120.0,Warner Bros. Pictures,Upright,89.0,300918.0,rookie cop one day prove veteran lapd narcotic officer receives crash course mentor's questionable brand justice.
